order_id,customer_id,order_date,delivery_date,discount,shipping_cost,payment_method
1,395,2023-02-02,2023-02-09,0.0,41.85,Wire
2,58,2025-09-09,2025-09-12,0.0,26.08,Debit
3,465,2023-04-09,2023-04-15,0.1,28.72,Credit Card
4,157,2023-03-16,2023-03-21,0.1,39.78,Debit
5,22,2024-04-03,2024-04-07,0.1,48.35,Debit
6,92,2025-09-15,2025-09-21,0.15,43.58,Debit
7,262,2024-10-20,2024-10-22,0.0,19.04,PayPal
8,380,2025-07-22,2025-07-30,0.05,14.02,Credit Card
9,281,2025-03-02,2025-03-07,0.0,26.22,Wire
10,72,2023-03-01,2023-03-08,0.0,9.1,Debit
11,79,2023-01-27,2023-02-03,0.0,5.8,Credit Card
12,448,2025-07-28,2025-08-03,0.15,48.54,Debit
13,46,2024-06-10,2024-06-12,0.0,31.92,PayPal
14,236,2025-05-01,2025-05-06,0.0,15.15,Debit
15,319,2024-12-26,2025-01-02,0.0,31.56,Debit
16,395,2023-03-05,2023-03-11,0.0,25.91,PayPal
17,320,2023-12-04,2023-12-11,0.2,37.48,Wire
18,301,2024-12-29,2024-12-31,0.15,45.85,Wire
19,214,2024-11-21,2024-11-30,0.0,9.63,PayPal
20,160,2024-04-07,2024-04-16,0.0,14.47,Credit Card
21,202,2025-07-24,2025-08-02,0.15,8.26,Credit Card
22,289,2025-01-14,2025-01-20,0.0,42.1,PayPal
23,406,2023-04-13,2023-04-16,0.2,14.04,PayPal
24,498,2023-05-23,2023-05-26,0.0,35.17,Debit
25,459,2023-11-13,2023-11-17,0.1,31.76,Credit Card
26,359,2023-08-11,2023-08-20,0.0,47.08,Debit
27,178,2025-05-09,2025-05-16,0.1,32.55,Wire
28,7,2024-04-03,2024-04-08,0.0,31.89,PayPal
29,410,2025-06-13,2025-06-17,0.0,12.38,PayPal
30,459,2025-09-04,2025-09-11,0.0,34.26,Credit Card
31,301,2023-08-31,2023-09-03,0.0,26.16,Credit Card
32,392,2025-01-02,2025-01-10,0.0,6.96,Debit
33,82,2025-08-23,2025-08-26,0.05,19.95,Debit
34,361,2023-02-28,2023-03-04,0.0,23.15,Credit Card
35,93,2025-08-07,2025-08-15,0.0,42.82,Credit Card
36,350,2024-12-25,2025-01-02,0.0,43.08,Credit Card
37,4,2025-01-01,2025-01-06,0.1,27.72,PayPal
38,177,2025-08-04,2025-08-13,0.0,6.32,PayPal
39,228,2024-07-31,2024-08-08,0.15,23.98,PayPal
40,243,2024-01-06,2024-01-09,0.15,14.48,Credit Card
41,18,2024-07-05,2024-07-11,0.05,10.92,Debit
42,100,2025-01-21,2025-01-28,0.0,15.69,PayPal
43,2,2024-01-10,2024-01-16,0.1,27.15,PayPal
44,316,2024-01-16,2024-01-24,0.0,31.07,Debit
45,130,2025-01-12,2025-01-19,0.05,19.05,Debit
46,66,2023-06-12,2023-06-18,0.0,31.48,Debit
47,440,2024-11-06,2024-11-12,0.0,15.56,PayPal
48,195,2024-09-21,2024-09-28,0.0,25.19,Debit
49,350,2023-12-27,2023-12-29,0.0,31.45,Debit
50,1,2023-11-09,2023-11-18,0.0,22.07,Wire
51,421,2024-11-17,2024-11-23,0.0,40.18,Debit
52,44,2025-04-03,2025-04-08,0.1,30.12,Wire
53,445,2025-07-04,2025-07-07,0.2,10.53,Credit Card
54,20,2023-10-09,2023-10-15,0.05,15.11,Credit Card
